id;key;shift_start;shift_end;type
1;8364;2024-01-31T05:57:03;2024-01-31T01:29:45;though
2;14696;2024-01-31T14:05:53;2024-01-31T14:42:21;teleconference library ack
3;17502;2024-01-31T20:06:50;2024-01-31T18:13:20;till troubleshoot very
4;17737;2024-01-31T08:11:30;2024-01-31T09:48:41;gratitude gadzooks ferociously
5;31758;2024-01-31T11:01:20;2024-01-31T20:39:39;saffron
6;1767;2024-01-31T04:32:25;2024-01-31T06:14:30;heart-throb yuck under
7;16713;2024-01-31T04:42:40;2024-01-31T21:18:27;though
8;28016;2024-01-31T19:28:00;2024-01-31T20:00:02;ew
9;5045;2024-01-31T06:35:29;2024-01-31T06:44:33;and
10;11116;2024-01-31T13:02:45;2024-01-31T07:32:03;terrific beneath
