id;key;shift_start;shift_end;type
1;17093;2024-01-31T20:44:44;2024-01-31T18:13:26;so
2;14720;2024-01-31T07:17:40;2024-01-31T19:34:12;atop gradient academic
3;441;2024-01-31T07:08:02;2024-01-31T16:48:12;zowie unhappy yet
4;27707;2024-01-31T13:16:11;2024-01-31T05:15:27;solid
5;8577;2024-01-31T16:11:25;2024-01-31T06:56:11;prep uh-huh failing
6;15596;2024-01-31T09:59:43;2024-01-31T07:22:01;anti neutralize allocation
7;19606;2024-01-31T03:50:33;2024-01-31T22:14:10;knee leadership noisily
8;950;2024-01-31T09:11:11;2024-01-31T02:52:02;poultry
9;23353;2024-01-31T14:18:55;2024-01-31T20:56:34;stampede supposing
10;27613;2024-01-31T03:53:04;2024-01-31T04:11:31;grouper however drat
